date,start_method,stop_method,duration,tempo,volume
01/01/2021 00:00,zimbel piston,zimbel piston,6 seconds,300 bpm,15 ms
01/01/2021 00:00,zimbel piston,zimbel piston,3 seconds,300 bpm,15 ms
01/01/2021 00:00,zimbel piston,prepare piston,2 seconds,300 bpm,15 ms
01/01/2021 00:00,zimbel piston,zimbel piston,2 seconds,300 bpm,30 ms
01/01/2021 00:00,zimbel piston,zimbel piston,1 seconds,300 bpm,30 ms
01/01/2021 00:00,easter egg played
01/01/2021 00:01,zimbel piston,zimbel piston,3 seconds,300 bpm,15 ms
01/01/2021 00:01,zimbel piston,prepare piston,1 seconds,300 bpm,15 ms
01/01/2021 00:01,zimbel piston,program mode,2 seconds,300 bpm,15 ms
01/01/2021 00:01,zimbel piston,prepare piston,11 seconds,300 bpm,15 ms
01/01/2021 00:01,zimbel piston,zimbel piston,1 seconds,300 bpm,15 ms
01/01/2021 00:01,zimbel piston,zimbel piston,7 seconds,300 bpm,40 ms
01/01/2021 00:02,zimbel piston,prepare piston,3 seconds,300 bpm,31 ms
01/01/2021 00:02,zimbel piston,zimbel piston,0 seconds,300 bpm,23 ms